, InformationGain
main,0.0
Source Port,8.511545608632701
Destination Port,15.893159688341562
Protocol,0.03225914448287881
Flow Duration,1.3405840717529145
Total Fwd Packets,0.04381311811859234
Total Backward Packets,0.037718347237515104
Total Length of Fwd Packets,1.6982575077664563
Total Length of Bwd Packets,0.03707505884500506
Fwd Packet Length Max,1.6805727222242695
Fwd Packet Length Min,1.6727721192744411
Fwd Packet Length Mean,1.6827305960401162
Fwd Packet Length Std,0.024035537288057185
Bwd Packet Length Max,0.03436276521880188
Bwd Packet Length Min,0.023058559757544117
Bwd Packet Length Mean,0.03569973319108044
Bwd Packet Length Std,0.014533056873972328
Flow Packets/s,1.330576404250337
Flow IAT Mean,1.3354509810172601
Flow IAT Std,0.08457057418293346
Flow IAT Max,1.3388713806227486
Flow IAT Min,1.267536695663452
Fwd IAT Total,1.3134284622818342
Fwd IAT Mean,1.3099904928524637
Fwd IAT Std,0.05075757710471862
Fwd IAT Max,1.311716574673767
Fwd IAT Min,1.2676196200938392
Bwd IAT Total,0.044584815845055914
Bwd IAT Mean,0.04427449778410164
Bwd IAT Std,0.021344302811229454
Bwd IAT Max,0.0443527093702869
Bwd IAT Min,0.032862821763174566
Fwd PSH Flags,0.00847552132510998
Bwd PSH Flags,1.4210854715202004e-14
Fwd URG Flags,1.4210854715202004e-14
Bwd URG Flags,1.4210854715202004e-14
Fwd Header Length,3.4719932490615975
Bwd Header Length,0.0408396457371083
Fwd Packets/s,1.3258445048528245
Bwd Packets/s,0.04399350688329662
Min Packet Length,1.6724036029152103
Max Packet Length,1.682424025588233
Packet Length Mean,1.6852650393792175
Packet Length Std,0.03890611028883484
Packet Length Variance,0.041187657486659646
FIN Flag Count,4.263256414560601e-14
SYN Flag Count,0.00047309298140874034
RST Flag Count,0.008475521325138402
PSH Flag Count,4.263256414560601e-14
ACK Flag Count,0.009169021133857314
URG Flag Count,0.02440645292465149
CWE Flag Count,0.011021088472659812
ECE Flag Count,2.842170943040401e-14
Down/Up Ratio,0.02473251837825785
Average Packet Size,1.699112906487187
Avg Fwd Segment Size,1.6827305960401162
Avg Bwd Segment Size,0.03569973319108044
Fwd Header Length.1,3.4719932490615903
Fwd Avg Bytes/Bulk,2.842170943040401e-14
Fwd Avg Packets/Bulk,2.842170943040401e-14
Fwd Avg Bulk Rate,2.842170943040401e-14
Bwd Avg Bytes/Bulk,2.842170943040401e-14
Bwd Avg Packets/Bulk,2.842170943040401e-14
Bwd Avg Bulk Rate,2.842170943040401e-14
Subflow Fwd Packets,0.04381311811859234
Subflow Fwd Bytes,1.6982575077664421
Subflow Bwd Packets,0.037718347237529315
Subflow Bwd Bytes,0.03707505884500506
Init_Win_bytes_forward,0.05296942478624089
Init_Win_bytes_backward,0.037599473817522266
act_data_pkt_fwd,0.04754071788116221
min_seg_size_forward,3.4210713813367875
Active Mean,0.01269439626034341
Active Std,0.006994981745592099
Active Max,0.012699746035480075
Active Min,0.01263725571534735
Idle Mean,0.012813145021411287
Idle Std,0.007216636989923586
Idle Max,0.012801700918700476
Idle Min,0.01280742297004167
Inbound,0.03226760513480542
